tract,no_vehicle,no_vehicle_universe,no_vehicle_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037212304,375,796,47.1,District 2,Los Angeles - Koreatown,SPA 4 - Metro,8005,2218468.73535156,6304.99186116234
06037212305,303,982,30.9,District 2,Los Angeles - Koreatown,SPA 4 - Metro,8006,1168773.14648438,4355.76452609155
06037212306,182,1128,16.1,District 2,Los Angeles - Koreatown,SPA 4 - Metro,8007,1742806.87792969,5316.96078675856
06037212410,396,1662,23.8,District 2,Los Angeles - Koreatown,SPA 4 - Metro,8008,1687088.9375,5550.26248909544
06037212420,345,1138,30.3,District 2,Los Angeles - Koreatown,SPA 4 - Metro,8009,1538332.86914062,4954.12247298853
06037980015,20,515,3.9,District 4,Los Angeles - Harbor City,SPA 8 - South Bay,8010,57231543.6943359,34862.5883805125
06037212501,180,922,19.5,District 2,Los Angeles - Koreatown,SPA 4 - Metro,8011,856375.334960938,3804.12356372229
06037212502,531,1702,31.2,District 2,Los Angeles - Koreatown,SPA 4 - Metro,8012,3069436.97265625,8256.6763741983
06037980023,0,15,0,District 3,Los Angeles - West Hills,SPA 2 - San Fernando,8013,56920985.9248047,39154.636778046
06037212610,243,1986,12.2,District 2,Los Angeles - Koreatown,SPA 4 - Metro,8014,3837077.16894531,8373.506660897
06037212620,453,1789,25.3,District 2,Los Angeles - Koreatown,SPA 4 - Metro,8015,3112104.20898438,7947.75922029688
06037980028,0,0,,District 2,Los Angeles - Westchester,SPA 5 - West,8016,181871105.774414,80476.2709226391
06037212701,97,846,11.5,District 2,Los Angeles - Country Club Park,SPA 4 - Metro,8017,5137695.23046875,10446.1224169919
06037212702,131,1382,9.5,District 2,Los Angeles - Country Club Park,SPA 4 - Metro,8018,9432433.52832031,13436.740666892
06037980030,0,0,,District 2,City of El Segundo,SPA 8 - South Bay,8019,44758041.4257812,28958.1173336166
06037212800,195,1342,14.5,District 2,Los Angeles - Country Club Park,SPA 4 - Metro,8020,8454048.38867188,11698.3897557199
06037212900,325,1408,23.1,District 2,Los Angeles - Country Club Park,SPA 4 - Metro,8021,3940299.24804688,8740.43958537966
06037980031,0,7,0,District 4,Los Angeles - San Pedro,SPA 8 - South Bay,8022,278485786.873047,79769.8499404498
06037213100,103,1098,9.4,District 2,Los Angeles - Koreatown,SPA 4 - Metro,8023,5781514.45214844,10486.3002784647
06037213201,421,1702,24.7,District 2,Los Angeles - Koreatown,SPA 4 - Metro,8024,3589230.66113281,8182.67688754627
06037980033,0,0,,District 4,City of Long Beach,SPA 8 - South Bay,8025,306139105.648438,76112.964181869
06037213202,287,1198,24,District 2,Los Angeles - Koreatown,SPA 4 - Metro,8026,3637201.02832031,8141.4350813002
06037213310,153,948,16.1,District 2,Los Angeles - Koreatown,SPA 4 - Metro,8027,3346140.25,7793.97104092556
06037980034,0,0,,District 4,City of Santa Fe Springs,SPA 7 - East,8028,69574593.8662109,60488.9361218372
06037213320,298,941,31.7,District 2,Los Angeles - Koreatown,SPA 4 - Metro,8029,3380926.98242188,7845.38107029361
06037213401,298,1645,18.1,District 2,Los Angeles - Pico-Union,SPA 4 - Metro,8030,2108256.96289062,6326.46337596502
06037980038,0,0,,District 2,Unincorporated - Ladera Heights,SPA 5 - West,8031,48526563.4912109,42566.8401671956
06037213402,405,1708,23.7,District 2,Los Angeles - Pico-Union,SPA 4 - Metro,8032,4220536.42578125,8304.77577150447
06037214000,57,1240,4.6,District 3,Los Angeles - Melrose,SPA 4 - Metro,8033,10878898.9863281,13349.8320339362
06037980039,0,0,,District 5,Unincorporated - Universal City,SPA 2 - San Fernando,8034,14640173.3886719,17601.6783312784
06037214100,67,1790,3.7,District 2,Los Angeles - Hancock Park,SPA 4 - Metro,8035,11954015.6572266,14119.4358302839
06037214400,186,1705,10.9,District 3,Los Angeles - Melrose,SPA 4 - Metro,8036,3705387.51660156,7957.45597765391
06037214501,176,1677,10.5,District 2,Los Angeles - Park La Brea,SPA 4 - Metro,8037,8104648.12695312,13972.6234377612
06037214503,170,1565,10.9,District 2,Los Angeles - Park La Brea,SPA 4 - Metro,8038,2452371.02832031,6833.36290633652
06037224020,413,936,44.1,District 1,Los Angeles - Downtown,SPA 4 - Metro,8039,13274685.3974609,15194.745406514
06037214504,186,1670,11.1,District 2,Los Angeles - Park La Brea,SPA 4 - Metro,8040,1310617.07519531,5783.53830056755
06037214505,49,916,5.3,District 2,Los Angeles - Park La Brea,SPA 4 - Metro,8041,1510257.35742188,6781.70002442472
06037224320,304,1115,27.3,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,8042,3148559.90722656,8337.93360619879
06037214600,128,1284,10,District 3,Los Angeles - Carthay,SPA 4 - Metro,8043,6255496.01660156,10110.4666923341
06037214700,82,1287,6.4,District 3,Los Angeles - Carthay,SPA 4 - Metro,8044,6384452.13671875,10225.8203051479
06037214800,103,1469,7,District 3,Los Angeles - Carthay,SPA 4 - Metro,8045,6204448.75488281,11233.3139801769
06037214902,84,1532,5.5,District 3,Los Angeles - Carthay,SPA 4 - Metro,8046,5572430.15039062,9450.67917207185
06037214903,197,1101,17.9,District 3,Los Angeles - Carthay,SPA 4 - Metro,8047,1465902.78417969,5280.13671052544
06037214904,43,924,4.7,District 3,Los Angeles - Carthay,SPA 4 - Metro,8048,1828968.39941406,5357.67428772174
06037215101,345,1943,17.8,District 2,Los Angeles - Miracle Mile,SPA 4 - Metro,8049,3809331.64746094,10263.4839015935
06037215102,330,2150,15.3,District 2,Los Angeles - Miracle Mile,SPA 4 - Metro,8050,2874435.63964844,7853.98922940437
06037236204,209,1180,17.7,District 2,Los Angeles - Baldwin Hills,SPA 6 - South,8051,2449353.234375,6658.90136953315
06037216100,20,1021,2,District 2,Los Angeles - Miracle Mile,SPA 4 - Metro,8052,7258622.61328125,11137.2282597637
06037216201,47,1462,3.2,District 2,Los Angeles - Miracle Mile,SPA 4 - Metro,8053,4885807.69042969,10090.456567382
06037216202,0,1445,0,District 2,Los Angeles - Miracle Mile,SPA 4 - Metro,8054,5435377.36621094,10155.3357717647
06037216301,42,631,6.7,District 2,Los Angeles - Miracle Mile,SPA 4 - Metro,8055,6049546.78808594,11309.8163204585
06037216302,146,1744,8.4,District 2,Los Angeles - Miracle Mile,SPA 4 - Metro,8056,7612845.06640625,11326.8620361775
06037216401,142,1792,7.9,District 3,Los Angeles - South Carthay,SPA 5 - West,8057,4453771.9296875,8573.05090459975
06037216402,110,1216,9,District 3,Los Angeles - South Carthay,SPA 5 - West,8058,2454486.62109375,6352.5598411435
06037216700,141,1565,9,District 2,Los Angeles - Crestview,SPA 4 - Metro,8059,8359985.12792969,11708.3886180848
06037216800,82,1425,5.8,District 2,Los Angeles - South Carthay,SPA 4 - Metro,8060,7970666.09863281,11541.4351311158
06037216901,77,1246,6.2,District 2,Los Angeles - Mid-city,SPA 4 - Metro,8061,7529393.078125,12049.5740176066
06037216902,96,1129,8.5,District 2,Los Angeles - Mid-city,SPA 4 - Metro,8062,4207215.77734375,9158.06543066756
06037217001,81,1053,7.7,District 3,Los Angeles - Crestview,SPA 5 - West,8063,5932737.09375,10781.4916671573
06037217002,192,2103,9.1,District 3,Los Angeles - Crestview,SPA 5 - West,8064,8310430.75878906,11537.2574729411
06037217101,169,925,18.3,District 2,Los Angeles - Mid-city,SPA 4 - Metro,8065,4274959.8828125,9355.77992590074
06037217102,127,1216,10.4,District 2,Los Angeles - Mid-city,SPA 4 - Metro,8066,5389199.59570312,9500.85044338073
06037217200,205,1695,12.1,District 2,Los Angeles - Mid-city,SPA 4 - Metro,8067,9910637.51757812,15000.9252381641
06037218110,170,1177,14.4,District 2,Los Angeles - Victoria Park,SPA 4 - Metro,8068,6462720.51074219,12750.5845119007
06037218120,318,1348,23.6,District 2,Los Angeles - Victoria Park,SPA 4 - Metro,8069,4789315.24316406,8883.8412423337
06037218210,245,1255,19.5,District 2,Los Angeles - St Elmo Village,SPA 4 - Metro,8070,4174755.20800781,8767.26244563719
06037218220,191,1486,12.9,District 2,Los Angeles - Lafayette Square,SPA 4 - Metro,8071,7202036.96386719,11673.2442683016
06037218300,95,2113,4.5,District 2,Los Angeles - Cloverdale/Cochran,SPA 4 - Metro,8072,9721211.26367188,17303.9296005537
06037218400,123,1345,9.1,District 2,Los Angeles - Cloverdale/Cochran,SPA 6 - South,8073,6980031.2734375,12172.1275600393
06037218500,167,968,17.3,District 2,Los Angeles - Cloverdale/Cochran,SPA 6 - South,8074,5644938.33984375,10970.1771907018
06037218600,115,1096,10.5,District 2,Los Angeles - Longwood,SPA 6 - South,8075,4579166.22363281,8896.78694256187
06037218701,134,816,16.4,District 2,Los Angeles - Wellington Square,SPA 6 - South,8076,5970334.19140625,10677.0864637023
06037218702,60,843,7.1,District 2,Los Angeles - Wellington Square,SPA 6 - South,8077,3863251.22070312,10277.6897063698
06037218800,50,939,5.3,District 2,Los Angeles - West Adams,SPA 6 - South,8078,4408954.66992188,9003.4607421164
06037218900,253,2136,11.8,District 2,Los Angeles - West Adams,SPA 6 - South,8079,7590636.38964844,11501.1401512322
06037219010,83,1013,8.2,District 2,Los Angeles - Jefferson Park,SPA 6 - South,8080,4746129.56640625,9379.45113561766
06037219020,128,1290,9.9,District 2,Los Angeles - Jefferson Park,SPA 6 - South,8081,7814189.0703125,11235.000575092
06037219300,155,1433,10.8,District 2,Los Angeles - Crenshaw District,SPA 6 - South,8082,7032522.35839844,11229.4922975579
06037219500,96,810,11.9,District 2,Los Angeles - Crenshaw District,SPA 6 - South,8083,5980859.90625,10424.0370712202
06037219700,75,1338,5.6,District 2,Los Angeles - Exposition,SPA 6 - South,8084,11747848.2226562,16573.5447508424
06037219800,101,967,10.4,District 2,Los Angeles - Alsace,SPA 6 - South,8085,4802367.25195312,9731.28589862795
06037219901,158,1626,9.7,District 2,Los Angeles - Alsace,SPA 6 - South,8086,5688670.42382812,10072.6276677243
06037219902,51,1363,3.7,District 2,Los Angeles - Alsace,SPA 6 - South,8087,8665149.89550781,13255.3885905399
06037220000,325,2210,14.7,District 2,Los Angeles - Crenshaw District,SPA 6 - South,8088,10481820.828125,12777.3961812482
06037220100,180,1083,16.6,District 2,Los Angeles - Baldwin Hills,SPA 6 - South,8089,10553580.6259766,16872.2625538817
06037221110,289,1055,27.4,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,8090,2543189.47851562,6917.1421829759
06037221120,176,752,23.4,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,8091,3461839.03417969,7508.70218597605
06037221210,94,869,10.8,District 2,Los Angeles - Harvard Heights,SPA 4 - Metro,8092,3886574.74902344,8400.44834580638
06037221220,171,931,18.4,District 2,Los Angeles - Harvard Heights,SPA 4 - Metro,8093,7061620.80078125,10517.0065866957
06037221302,347,1175,29.5,District 2,Los Angeles - Harvard Heights,SPA 4 - Metro,8094,4979090.125,10182.9978284678
06037221303,223,717,31.1,District 2,Los Angeles - Harvard Heights,SPA 4 - Metro,8095,2529230.91113281,6479.80207836699
06037221304,132,1137,11.6,District 2,Los Angeles - Harvard Heights,SPA 4 - Metro,8096,2439438.50097656,6306.02757861075
06037221401,197,1217,16.2,District 2,Los Angeles - West Adams,SPA 6 - South,8097,5807308.30273438,9622.08414883721
06037221402,219,967,22.6,District 2,Los Angeles - West Adams,SPA 6 - South,8098,5758103.04101562,12851.787555696
06037221500,395,1165,33.9,District 2,Los Angeles - West Adams,SPA 6 - South,8099,4097488.70703125,8382.65571532391
06037221601,221,962,23,District 2,Los Angeles - West Adams,SPA 6 - South,8100,3980776.45996094,8298.42599460866
06037221602,104,794,13.1,District 2,Los Angeles - West Adams,SPA 6 - South,8101,5577270.453125,11987.0771425261
06037221710,291,889,32.7,District 2,Los Angeles - West Adams,SPA 6 - South,8102,3536802.52441406,8105.21943524623
06037221810,273,901,30.3,District 2,Los Angeles - University Park,SPA 6 - South,8103,3275873.11621094,7474.75421107157
06037221820,320,969,33,District 2,Los Angeles - University Park,SPA 6 - South,8104,2200173.89160156,5840.16270613055
06037221900,325,932,34.9,District 2,Los Angeles - University Park,SPA 6 - South,8105,4403034.38769531,10551.9909206486
06037222001,110,949,11.6,District 2,Los Angeles - Exposition Park,SPA 6 - South,8106,5104919.04785156,9152.50879239103
06037222002,321,1426,22.5,District 2,Los Angeles - Exposition Park,SPA 6 - South,8107,7060516.01269531,10841.46998371
06037222100,219,1191,18.4,District 2,Los Angeles - Adams-Normandie,SPA 6 - South,8108,5152775.11523438,10486.6220182501
06037222200,206,1318,15.6,District 2,Los Angeles - Adams-Normandie,SPA 6 - South,8109,5186450.16796875,10532.8428543884
06037222500,153,1229,12.4,District 2,Los Angeles - Exposition Park,SPA 6 - South,8110,7020978.22851562,10605.3247975699
06037222600,346,1621,21.3,District 2,Los Angeles - Exposition Park,SPA 6 - South,8111,7012275.47460938,10584.9862602717
06037224200,189,752,25.1,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,8112,4048361.07226562,8617.78577663369
06037224310,175,588,29.8,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,8113,1829472.24023438,6639.97881226274
06037224410,330,1016,32.5,District 2,Los Angeles - University Park,SPA 6 - South,8114,4725219.91308594,10260.6753657762
06037224420,345,894,38.6,District 2,Los Angeles - University Park,SPA 6 - South,8115,3967094.94433594,8686.50040224515
06037224600,189,776,24.4,District 2,Los Angeles - University Park,SPA 6 - South,8116,7717302.546875,11199.3118817495
06037224701,157,401,39.2,District 2,Los Angeles - University Park,SPA 6 - South,8117,2557086.49902344,7567.39963666467
06037224702,359,718,50,District 2,Los Angeles - University Park,SPA 6 - South,8118,4249936.35351562,9717.86746360709
06037226001,207,598,34.6,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,8119,11262506.0917969,19000.4917544777
06037226002,551,1209,45.6,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,8120,27454967.0927734,21360.5903720665
06037226410,180,835,21.6,District 2,Los Angeles - Central,SPA 6 - South,8121,3020288.66699219,7061.80101743721
06037226420,181,1307,13.8,District 2,Los Angeles - Central,SPA 6 - South,8122,4595354.35449219,8778.891444868
06037226701,37,610,6.1,District 2,Los Angeles - Central,SPA 6 - South,8123,4036350.89941406,9176.57226799392
06037226702,145,867,16.7,District 2,Los Angeles - Central,SPA 6 - South,8124,4406073.59570312,11981.4299516603
06037227010,111,1079,10.3,District 2,Los Angeles - Central,SPA 6 - South,8125,6216997.72265625,11488.3572439061
06037227020,38,771,4.9,District 2,Los Angeles - Central,SPA 6 - South,8126,4614952.89453125,8995.56467291107
06037228100,73,1147,6.4,District 2,Los Angeles - Vernon Central,SPA 6 - South,8127,10984093.9179688,14969.7427789219
06037228210,127,948,13.4,District 2,Los Angeles - Central,SPA 6 - South,8128,4507252.90136719,9082.69698037547
06037228220,167,1017,16.4,District 2,Los Angeles - Vernon Central,SPA 6 - South,8129,3933562.86523438,9102.1190023746
06037228310,251,1118,22.5,District 2,Los Angeles - Central,SPA 6 - South,8130,5963185.01757812,10969.7939622294
06037228320,64,749,8.5,District 2,Los Angeles - Vernon Central,SPA 6 - South,8131,3529045.54101562,9981.91344690423
06037228410,114,716,15.9,District 2,Los Angeles - Central,SPA 6 - South,8132,2993552.68164062,7099.98028400651
06037228420,112,662,16.9,District 2,Los Angeles - South Park,SPA 6 - South,8133,2985814.79589844,7921.09523617572
06037228500,218,1180,18.5,District 2,Los Angeles - South Park,SPA 6 - South,8134,4884458.17480469,9075.60805820838
06037228600,200,1073,18.6,District 2,Los Angeles - Vernon Central,SPA 6 - South,8135,5686621.625,9583.53107138211
06037228710,104,996,10.4,District 2,Los Angeles - Vernon Central,SPA 6 - South,8136,4362081.15136719,9256.62522039245
06037228720,68,1139,6,District 2,Los Angeles - Vernon Central,SPA 6 - South,8137,4355249.90625,9244.49435759766
06037228800,210,1240,16.9,District 2,Los Angeles - Vernon Central,SPA 6 - South,8138,9091598.73925781,12294.3884741704
06037228900,168,916,18.3,District 2,Los Angeles - Vernon Central,SPA 6 - South,8139,5560833.44042969,9591.92022175632
06037229100,236,1092,21.6,District 2,Los Angeles - Vernon Central,SPA 6 - South,8140,5110877.33496094,9150.04885697756
06037229200,126,1144,11,District 2,Los Angeles - Vernon Central,SPA 6 - South,8141,4777352.96484375,8918.16082521378
06037229300,294,1363,21.6,District 2,Los Angeles - South Park,SPA 6 - South,8142,5361360.49316406,9403.79906802314
06037229410,111,839,13.2,District 2,Los Angeles - South Park,SPA 6 - South,8143,5839057.29296875,9706.98716421396
06037229420,177,1004,17.6,District 2,Los Angeles - Vernon Central,SPA 6 - South,8144,6294942.09765625,10050.5319248621
06037231100,180,658,27.4,District 2,Los Angeles - Exposition Park,SPA 6 - South,8145,9467086.08691406,12847.4099044822
06037231210,234,1218,19.2,District 2,Los Angeles - Exposition Park,SPA 6 - South,8146,3444734.5546875,7919.44201880278
06037231220,430,1367,31.5,District 2,Los Angeles - Exposition Park,SPA 6 - South,8147,10408962.8388672,13170.3888471452
06037231301,113,792,14.3,District 2,Los Angeles - Exposition Park,SPA 6 - South,8148,2518039.38378906,7081.84267521166
06037231302,73,805,9.1,District 2,Los Angeles - Exposition Park,SPA 6 - South,8149,4559947.97558594,10645.1700794788
06037231400,279,1466,19,District 2,Los Angeles - Exposition Park,SPA 6 - South,8150,6683376.84863281,10350.6265418402
06037231500,177,1504,11.8,District 2,Los Angeles - West Vernon,SPA 6 - South,8151,9886748.92578125,12797.0484056493
06037231601,66,744,8.9,District 2,Los Angeles - West Vernon,SPA 6 - South,8152,3446476.84667969,7853.76348201663
06037231602,16,632,2.5,District 2,Los Angeles - West Vernon,SPA 6 - South,8153,3395683.69824219,7818.01294974355
06037231603,133,760,17.5,District 2,Los Angeles - West Vernon,SPA 6 - South,8154,3442922.35449219,7867.47880129541
06037231710,346,1185,29.2,District 2,Los Angeles - West Vernon,SPA 6 - South,8155,3484295.73632812,7941.43613909737
06037231720,544,1514,35.9,District 2,Los Angeles - West Vernon,SPA 6 - South,8156,5082200.78808594,9119.79389240225
06037231800,249,1372,18.1,District 2,Los Angeles - South Park,SPA 6 - South,8157,5600675.42773438,9533.12603473679
06037231901,108,785,13.8,District 2,Los Angeles - South Park,SPA 6 - South,8158,2588562.6015625,6562.28611674277
06037231902,114,783,14.6,District 2,Los Angeles - South Park,SPA 6 - South,8159,3443782.55664062,9939.81126345454
06037232110,162,845,19.2,District 2,Los Angeles - West Vernon,SPA 6 - South,8160,4089411.64941406,8787.53224980755
06037232120,194,1465,13.2,District 2,Los Angeles - West Vernon,SPA 6 - South,8161,5662639.11035156,9729.1288730113
06037232200,133,866,15.4,District 2,Los Angeles - Vermont Square,SPA 6 - South,8162,5628749.46386719,10868.6407454484
06037232300,164,1229,13.3,District 2,Los Angeles - Vermont Square,SPA 6 - South,8163,6767725.02050781,11548.1219987442
06037232401,124,1069,11.6,District 2,Los Angeles - West Vernon,SPA 6 - South,8164,6132389.53222656,11911.3022133159
06037232402,32,1003,3.2,District 2,Los Angeles - West Vernon,SPA 6 - South,8165,5847553.98632812,11262.2418967666
06037232500,127,1469,8.6,District 2,Los Angeles - West Vernon,SPA 6 - South,8166,8278204.67089844,11953.55897736
06037232601,87,548,15.9,District 2,Los Angeles - West Vernon,SPA 6 - South,8167,2829224.06835938,6995.45407557735
06037232602,191,1339,14.3,District 2,Los Angeles - West Vernon,SPA 6 - South,8168,5717382.13671875,9605.28297114218
06037232701,67,534,12.5,District 2,Los Angeles - West Vernon,SPA 6 - South,8169,2986948.06640625,7152.5899758522
06037232702,154,980,15.7,District 2,Los Angeles - West Vernon,SPA 6 - South,8170,4880011.48535156,8854.57067104209
06037232800,124,925,13.4,District 2,Los Angeles - South Park,SPA 6 - South,8171,4643362.63867188,8648.31698145913
06037234001,117,995,11.8,District 2,Los Angeles - Leimert Park,SPA 6 - South,8172,7211328.69726562,15620.8968736654
06037234002,87,1081,8,District 2,Los Angeles - Leimert Park,SPA 6 - South,8173,6177447.26269531,13218.7924253184
06037234200,68,1140,6,District 2,Los Angeles - Crenshaw District,SPA 6 - South,8174,9553866.94140625,12926.1239646779
06037234301,138,1012,13.6,District 2,Los Angeles - Leimert Park,SPA 6 - South,8175,5376254.29980469,9391.18011265499
06037234302,122,1375,8.9,District 2,Los Angeles - Leimert Park,SPA 6 - South,8176,3925948.75878906,9225.64291236367
06037234501,43,870,4.9,District 2,Los Angeles - Leimert Park,SPA 6 - South,8177,8201487.55273438,12601.5240264856
06037234502,214,1114,19.2,District 2,Los Angeles - Leimert Park,SPA 6 - South,8178,5870200.31152344,11641.7628818003
06037234600,252,1623,15.5,District 2,Los Angeles - Hyde Park,SPA 6 - South,8179,14005780.6660156,17543.2964905192
06037234700,91,1265,7.2,District 2,Los Angeles - Hyde Park,SPA 6 - South,8180,8008087.94433594,14743.3148294963
06037234800,104,1067,9.7,District 2,Los Angeles - Hyde Park,SPA 6 - South,8181,7041478.18652344,10614.4605349123
06037234901,359,1202,29.9,District 2,Los Angeles - Hyde Park,SPA 6 - South,8182,3502662.12402344,7934.89949621002
06037234902,821,2054,40,District 2,Los Angeles - Hyde Park,SPA 6 - South,8183,4820942.61523438,9961.98851742545
06037235100,141,1765,8,District 2,Los Angeles - View Heights,SPA 6 - South,8184,12641574.4375,17923.8164136641
06037235201,120,967,12.4,District 2,Los Angeles - Hyde Park,SPA 6 - South,8185,7063869.28808594,10605.2212138761
06037235202,378,1625,23.3,District 2,Los Angeles - Hyde Park,SPA 6 - South,8186,9155251.6640625,13208.5064389418
06037236001,130,1902,6.8,District 2,Los Angeles - Baldwin Hills,SPA 6 - South,8187,23649209.7431641,27665.3806108931
06037236101,473,1273,37.2,District 2,Los Angeles - Baldwin Hills,SPA 6 - South,8188,6700471.33789062,11551.6135499079
06037236102,168,1948,8.6,District 2,Los Angeles - Baldwin Hills,SPA 6 - South,8189,5497542.31933594,11854.5134229504
06037236203,291,1436,20.3,District 2,Los Angeles - Baldwin Hills,SPA 6 - South,8190,3636276.61425781,10600.5659875318
06037236205,273,1208,22.6,District 2,Los Angeles - Baldwin Hills,SPA 6 - South,8191,1826340.07226562,6036.84350643311
06037236206,141,1345,10.5,District 2,Los Angeles - Baldwin Hills,SPA 6 - South,8192,2978346.14648438,9561.08837950934
06037261104,38,714,5.3,District 3,Los Angeles - Beverly Crest,SPA 5 - West,8193,49580283.8720703,40730.7261494754
06037236400,185,1981,9.3,District 2,Los Angeles - Baldwin Hills,SPA 6 - South,8194,14351405.0302734,19215.0662827434
06037237101,241,962,25.1,District 2,Los Angeles - Harvard Park,SPA 6 - South,8195,6727302.86523438,10336.7248046383
06037237102,236,1001,23.6,District 2,Los Angeles - Harvard Park,SPA 6 - South,8196,4920014.79589844,9010.33854834588
06037237201,58,938,6.2,District 2,Los Angeles - Harvard Park,SPA 6 - South,8197,4880577.70410156,8888.39111865612
06037237202,272,1268,21.5,District 2,Los Angeles - Harvard Park,SPA 6 - South,8198,11940267.7265625,14382.6783997977
06037237300,266,1821,14.6,District 2,Los Angeles - Harvard Park,SPA 6 - South,8199,10718169.9794922,13449.660095138
06037237401,104,1018,10.2,District 2,Los Angeles - Harvard Park,SPA 6 - South,8200,5561774.03808594,9556.73321006847
06037237402,186,1005,18.5,District 2,Los Angeles - Harvard Park,SPA 6 - South,8201,5611790.88671875,9623.63511947636
06037237500,206,760,27.1,District 2,Los Angeles - Harvard Park,SPA 6 - South,8202,3662843.74414062,8228.37397718719
06037237600,146,1173,12.4,District 2,Los Angeles - Harvard Park,SPA 6 - South,8203,5478030.37597656,9466.70961526742
06037237710,80,1067,7.5,District 2,Los Angeles - Vermont Knolls,SPA 6 - South,8204,4650006.12988281,9396.96215978695
06037237720,153,902,17,District 2,Los Angeles - Vermont Knolls,SPA 6 - South,8205,3494748.20507812,8723.91326025211
06037237800,12,1175,1,District 2,Los Angeles - Vermont Knolls,SPA 6 - South,8206,10357981.0556641,13044.5115551577
06037237900,109,1349,8.1,District 2,Los Angeles - Manchester Square,SPA 6 - South,8207,10549986.7636719,13264.7374962075
06037238000,239,2219,10.8,District 2,Los Angeles - Gramercy Place,SPA 6 - South,8208,17906006.8320312,21142.1625767851
06037238100,312,2060,15.1,District 2,Los Angeles - Manchester Square,SPA 6 - South,8209,10587598.2314453,13269.9477535659
06037238200,459,2208,20.8,District 2,Los Angeles - Vermont Knolls,SPA 6 - South,8210,11157102.0644531,13782.3149381101
06037238310,211,1294,16.3,District 2,Los Angeles - Vermont Vista,SPA 6 - South,8211,4320028.73339844,9246.13752550706
06037238320,374,1098,34.1,District 2,Los Angeles - Vermont Vista,SPA 6 - South,8212,5012874.55371094,9624.82652954107
06037238400,217,1753,12.4,District 2,Los Angeles - Gramercy Place,SPA 6 - South,8213,14006761.8779297,15894.455049153
06037239201,134,808,16.6,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,8214,4877789.4765625,8888.21872543183
06037239202,159,1222,13,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,8215,13691595.8847656,15791.4385893177
06037239310,142,974,14.6,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,8216,5699809.41503906,9677.89966932289
06037239320,119,811,14.7,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,8217,3736299.66894531,8282.41082861323
06037239330,67,738,9.1,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,8218,10580761.640625,13361.7384554444
06037239501,122,950,12.8,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,8219,5082167.45703125,10513.2360128299
06037239502,55,801,6.9,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,8220,5530770.92578125,10756.1706189989
06037239601,164,914,17.9,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,8221,4545280.95117188,9594.69921128326
06037239602,95,933,10.2,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,8222,3845027.53613281,9271.75153067478
06037239701,122,1091,11.2,District 2,Los Angeles - Vermont Vista,SPA 6 - South,8223,4508003.28417969,9360.69645198075
06037239702,155,1103,14.1,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,8224,5144301.43554688,9931.14551553622
06037239801,92,975,9.4,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,8225,3980807.76074219,9958.62480693049
06037239802,206,1328,15.5,District 2,Los Angeles - Florence-Firestone,SPA 6 - South,8226,6561812.22363281,11250.5711661667
06037240010,190,1035,18.4,District 2,Los Angeles - Green Meadows,SPA 6 - South,8227,6336452.79003906,12212.7333309262
06037240020,179,1307,13.7,District 2,Los Angeles - Green Meadows,SPA 6 - South,8228,7790629.78125,12722.9723437773
06037240200,266,1485,17.9,District 2,Los Angeles - Vermont Vista,SPA 6 - South,8229,8032877.47558594,11276.4741880307
06037240301,86,887,9.7,District 2,Los Angeles - Vermont Vista,SPA 6 - South,8230,5093418.44238281,9216.50483807673
06037240302,72,691,10.4,District 2,Los Angeles - Vermont Vista,SPA 6 - South,8231,3686435.28125,8051.17076322715
06037240401,216,1546,14,District 2,Los Angeles - Vermont Vista,SPA 6 - South,8232,7425477.24414062,11308.9953420299
06037240402,78,1122,7,District 2,Los Angeles - Vermont Vista,SPA 6 - South,8233,6501801.41699219,11122.670313936
06037240500,233,1639,14.2,District 2,Los Angeles - Vermont Vista,SPA 6 - South,8234,8737575.60839844,12255.235306812
06037240600,150,1144,13.1,District 2,Los Angeles - Green Meadows,SPA 6 - South,8235,7263550.40917969,11288.2065772919
06037240700,80,1652,4.8,District 2,Los Angeles - Green Meadows,SPA 6 - South,8236,12880469.2900391,14724.81115048
06037240800,180,1077,16.7,District 2,Los Angeles - Century Palms/Cove,SPA 6 - South,8237,7005454.23046875,13445.6999736636
06037240901,30,537,5.6,District 2,Los Angeles - Century Palms/Cove,SPA 6 - South,8238,3800170.60351562,10910.4369507692
