tract,no_vehicle,no_vehicle_universe,no_vehicle_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037106407,188,828,22.7,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7387,2497837.99414062,6355.49121102992
06037106408,48,986,4.9,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7388,2465520.91699219,6295.50831200065
06037106510,20,1601,1.2,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7389,62138891.1826172,36810.4174072868
06037106520,124,1402,8.8,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7390,23742776.9794922,19779.1891837995
06037106603,65,1216,5.3,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7391,111070288.768555,48129.2464251955
06037106604,93,1281,7.3,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7392,28109094.6132812,26134.1978001776
06037106641,37,732,5.1,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7393,12439769.265625,18205.3184268086
06037106642,70,1189,5.9,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7394,16922656.171875,19793.7825956512
06037106643,54,1387,3.9,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7395,46652067.0527344,31847.0660361859
06037106645,93,1252,7.4,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7396,26946666.1367188,29643.9705810143
06037106646,43,999,4.3,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7397,16141372.4765625,23002.4620379296
06037106648,51,1179,4.3,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7398,8770048.65917969,12817.0277743276
06037106649,23,642,3.6,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7399,11900113.8681641,19875.8687603473
06037107010,34,757,4.5,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7400,7378650.45117188,12969.8963760505
06037107020,74,1212,6.1,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,7401,10674902.7763672,14598.594041933
06037108101,32,757,4.2,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7402,12266855.5664062,14442.5173721992
06037108102,19,1226,1.5,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7403,23081371.0019531,18310.673940999
06037108103,8,1001,0.8,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7404,27776643.0498047,35922.726079898
06037108104,3,562,0.5,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7405,9009471.14160156,14606.2062077058
06037108202,69,3551,1.9,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7406,64178248.4638672,35709.8831355136
06037108203,23,1175,2,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7407,14381515.4902344,16269.5127036231
06037108204,83,658,12.6,District 3,Los Angeles - Porter Ranch,SPA 2 - San Fernando,7408,16049102.4550781,21734.9878647895
06037109100,121,887,13.6,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,7409,29181021.1005859,26282.804034726
06037109200,100,1077,9.3,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7410,10956303.3769531,15922.32808023
06037109300,38,929,4.1,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,7411,13116617.7988281,17334.508574545
06037109400,26,1131,2.3,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,7412,13685638.0449219,17525.934223217
06037109500,54,982,5.5,District 3,Los Angeles - Mission Hills,SPA 2 - San Fernando,7413,12907395.8847656,20454.3625085122
